,ID,Sentence,disease
260,284,Healthy participants (men and women) between 35 and 65 years of age with knee discomfort.,{'knee discomfort'}
261,285,Age \>18 years;,{''}
262,286,Men with mCRPC who have been prescribed enzalutamide as part of standard clinical practice,{'m ##CR ##PC'}
263,288,"(1) Subjects must be between 18 and 75 years old when signing the informed consent form, and must have the ability to sign the consent form independently; (2) NASH patients who meet one of the following conditions",{'NAS ##H'}
264,289,years or older and overtly healthy,{''}
265,290,males and females age 18-65,{''}
266,291,-Age ≥ 18 years,{''}
267,292,Adult patient.,{''}
268,293,"Subject is a man or woman and considered to be an adult, according to the local legal definition, at the time of informed consent.",{''}
269,295,Subject with hemiparesis following stroke,"{'hem ##ip ##ares ##is, stroke'}"
270,296,Male or female aged 18-60 years.,{''}
271,297,Spinal cord injury (SCI) due to trauma,"{'Spin ##al cord injury, SC ##I'}"
272,298,Patient has thrombocytopenia associated with chronic liver disease and is planned for or underwent treatment with avatrombopag prior to a procedure,"{'th ##rom ##bo ##cy ##top ##enia, chronic liver disease'}"
273,299,years or older,{''}
274,300,Males and females aged ≥ 12 years,{''}
275,301,(Stroke Participants),{'St ##roke'}
276,302,Women aged 18 or older,{''}
277,303,N/A,{''}
278,304,"Subject has received a full explanation of the study drug and this study in advance, and written informed consent to participate in the study has been obtained from the subject himself/herself",{''}
279,306,diabetes,{''}
280,307,"Able to provide a signed and dated written informed consent prior to any study-specific procedures, sampling, or data collection.",{''}
281,308,MAIN PART,{''}
282,309,"In order to be eligible to participate in this study, an individual must meet all of the following criteria",{''}
283,310,age \> 18 years old.,{''}
284,311,Fasting Glucose \< 100 mg/dl,{''}
285,312,Patients treated with Koselugo (Selumetinib) under the approved label in South Korea,{''}
286,313,Patient aged 18 years or more,{''}
287,314,"Must be a healthcare worker (doctor, nurse, therapist, etc.) employed at Hospital León Becerra in Milagro, Ecuador.",{''}
288,315,Patients diagnosed with new or recurrent myeloid leukemia,{'my ##elo ##id le ##uke ##mia'}
289,316,age ≥ 18 years with stable refraction for at least two years;,{''}
290,317,Female patients with diarrhea-predominant irritable bowel syndrome,"{'di, ##ar ##r ##hea, i ##rri ##table bow ##el syndrome'}"
291,318,Child has one of the following presenting diagnoses,{''}
292,319,Male or Female 18 years or older,{''}
293,320,Age between 18-40 years old,{''}
294,321,-45 years of age at time of enrollment with an uncomplicated singleton pregnancy who are at no known increased risk for complications per clinical judgement of the investigator,{'single pregnancy'}
295,322,Age \> 65 years old,{''}
296,323,Willing and able to provide written informed consent;,{''}
297,324,Adult Asian women with locoregionally recurrent or metastatic disease not amenable to curative therapy,{''}
298,325,Individuals aged 65-84 years,{''}
299,326,"Histologic diagnosis of AL amyloidosis and typed with immunohistochemistry/ immunofluorescence, immunoelectron microscopy, or mass spectrometry. In patients with biopsy-confirmed amyloidosis, ambiguous amyloid typing results, and cardiac involvement alone, a negative pyrophosphate (PYP) or technetium-99m (99mTc) and 3,3-diphosphono-1,2-propanodicarboxylic acid (DPD-Tc99m) bone scan is required to distinguish cardiac involvement due to AL amyloidosis from amyloid transthyretin (ATTR) amyloidosis. Data from the initial diagnosis are accepted.","{'AL am ##yl ##oid ##osis, am ##yl ##oid ##osis, cardiac involvement, cardiac involvement, AL am ##yl ##oid ##osis, am ##yl ##oid trans ##thy ##ret ##in ( AT ##TR ) am ##yl ##oid ##osis'}"
300,327,Be willing and able to provide written informed consent for the study.,{''}
301,328,• Suffered a mild or moderate traumatic brain injury within 3 months to 15 years prior to recruitment.,{'traumatic brain injury'}
302,329,diagnosed with esophagogastric junction outflow obstruction by high resolution manometry,{'es ##op ##ha ##go ##gas ##tric junction out ##flow o ##bs ##truction'}
303,330,Cases patients with AHI \> 30/h,{''}
304,331,Multiple myeloma meeting the following criteria,{'Multiple my ##elo ##ma'}
305,332,Subjects must voluntarily agree to participate by providing written informed consent and agreeing to comply with protocol and scheduled visit;,{''}
306,333,be willing and able to provide written informed consent/consent for the trial.,{''}
307,334,patients of upper gastrointestinal perforation,{'upper gas ##tro ##int ##est ##inal per ##fo ##ration'}
308,335,+ years of age,{''}
309,336,Previously participated in the SICCA study at Penn,{''}
310,337,"Age 50 to 80 years old (including 50 and 80 years old), male or female;",{''}
311,338,Rectus diastasis ≥3 cm,{''}
312,339,- Moderate or major depressive episode as primary diagnosis,{'de'}
313,340,Patient must be ≥ 18 years of age,{''}
314,342,"The patient's clinical manifestations, physical examination, and imaging data all support the diagnosis of degenerative lumbar spondylosis.",{'de ##gene ##rative l ##umba ##r s ##po ##ndy ##los ##is'}
315,343,"In order to be eligible to participate in this study, an individual must meet all of the following criteria",{''}
316,344,"Patient with advanced metastatic solid tumors with documented tumor progression after at least one line of systemic therapy and for which no further standard therapies are available, feasible or accepted by the patient. Prior exposure to an immune checkpoint inhibitor (ICPI) is allowed. Patient with a localized disease for which no curative therapy is available and a measurable lesion is still amenable for RECIST assessment after biopsy (to manufacture the vaccine) are allowed (example GBM or sarcoma with local relapse after surgery, chemo-radiation)","{'meta ##static solid tumors, tumor, GB ##M, sa, ##rc ##oma'}"
317,345,"Meets classification criteria for primary Sjogren's syndrome (pSS) by the 2016 American College of Rheumatology (ACR) / European League Against Rheumatism (EULAR) at the time of screening, and was diagnosed with pSS no less than 26 weeks prior to screening","{""S ##jo ##gren ' s syndrome, p ##SS R ##he ##uma ##tism, p ##SS""}"
318,346,"All patients must be diagnosed with neuroblastoma, and categorized as high risk at the time of diagnosis; exception patients who are initially diagnosed as non-high-risk neuroblastoma, but later converted (and/or relapsed) to high risk neuroblastoma are also eligible","{'ne ##uro ##blast ##oma, ne ##uro ##blast ##oma, ne ##uro ##blast ##oma'}"
319,347,"Arm A dose escalation patients with histologically or cytologically proven advanced solid tumors for which standard treatments are not available, or for whom the current dose level of cisplatin in combination with pemetrexed is appropriate; =\< 2 prior cytotoxic chemotherapy regimen",{''}
320,348,ATG-F administration to prophylaxis rejection in kidney transplantation recipient.,{'rejection'}
321,349,Willing and able to provide informed consent;,{''}
322,350,Participant must be 40 to 70 years of age inclusive,{''}
323,351,Type 1 diabetes mellitus children with genetic immunodeficiency,"{'Type 1 diabetes me ##lli ##tus, genetic im ##mu ##no ##de ##ficiency'}"
324,352,Patients will be eligible for inclusion into the study if they meet all of the following criteria,{''}
325,353,"Female,",{''}
326,354,Age 18-69 years,{''}
327,355,women and men 40-70 years old;,{''}
328,356,Histologically or cytologically confirmed diagnosis of stage IV NSCLC (or recurrent NSCLC not a candidate for definitive multimodality therapy),"{'stage IV N ##SC ##LC, re N ##SC ##LC'}"
329,357,Patients aged ≥ 18 years,{''}
330,358,Provision of signed and dated informed consent form.,{''}
331,359,Able to understand the purpose and the procedures involved in this study and sign the informed consent form.,{''}
332,360,STEMI patient; Symptom onset in 12 hours; Intended to perform PPCI,{'ST ##EM ##I'}
333,361,INTERVENTION (SURVIVORS) INCLUSION,{''}
334,362,"In the dose escalation, patients must have a histologically documented locally advanced, unresectable, or metastatic solid tumor that has progressed following at least one prior line of treatment in the metastatic setting or has no satisfactory alternative treatment option and all of the following",{'meta ##static solid tumor'}
335,363,have had at least one vertebral fracture in the past two years confirmed by a radiology report,{'ve ##rte ##bra ##l fracture'}
336,364,Histologic diagnosis/confirmation of prostate adenocarcinoma and no evidence of small cell cancer.,"{'pro, ##state ad ##eno ##car ##cin ##oma, small cell cancer'}"
337,365,"Subject completed the week 12 visit in one of the Phase 2, ASP015K Rheumatoid Arthritis studies within the previous 14 days.","{'R, ##he ##uma ##to ##id Art ##hr ##itis'}"
338,366,"Subject is age 18 to 55 years, inclusive.",{''}
339,367,"Nonpregnant adults between 18 years and 50 years of age, inclusive.",{''}
340,369,Diagnosed heart failure with preserved ejection fraction,{'heart failure'}
341,370,Patients with good mental status,{''}
342,371,PRE-REGISTRATION INCLUSION CRITERIA,{''}
343,373,Older than 18 years old,{''}
344,374,"Unmarried woman and couple of women with societal infertility,",{'societal in ##fer ##tility'}
345,375,Have metastatic castration-resistant prostate cancer,{'cast ##ration - resistant pro ##state cancer'}
346,376,Provide written informed consent.,{''}
347,377,At least 18 years of age; Patients with chronic widespread pain; Able to complete the questionnaire.,{'chronic widespread pain'}
348,378,Subject who is aged 18 years or older who signed informed consent,{''}
349,379,MCADD patients,{'MCA ##D ##D'}
350,380,Patients 18 years of age or older;,{''}
351,381,"The subjects voluntarily joined this study, signed an informed consent form, and showed good compliance;",{''}
352,382,Age 40 or greater,{''}
353,383,"All adult patients presenting to the Emergency Department, with a blood culture order in the Emergency Department, who are classified as Group D, in whom a clinician initiates a normal saline order",{''}
354,384,Patients aged 18 years or older.,{''}
355,385,-,{''}
356,386,"willing to sign consent and have samples collected,",{''}
357,387,toddlers who were ≤ 36 weeks gestational age (GA) at birth who attend the University of Minnesota Masonic Children's Hospital NICU Follow Up Clinic,{''}
358,388,The patient must have given their free and informed consent and signed the consent form,{''}
359,389,Parent's infant agreeing to participate in the study,{''}
360,390,"Age related cataracts over 50 years old, nuclear grades II-III",{'cat ##ara ##cts'}
361,391,Chronic Pain Trial,"{'Ch, ##ronic Pain'}"
362,392,continuous coverage of at least 365 days (\>= 1 year) pre-index date for the cohort,{''}
363,394,Age 20-75 years,{''}
364,395,Age ≥18,{''}
365,396,Age 18 or older,{''}
366,397,"- Ethnically-diverse Black prostate cancer (CaP) survivors who are either native-born, Caribbean-born, or African-born, within the early phase of their CaP survivorship journey (defined as within the first five years after diagnosis).","{'pro ##state cancer, C ##a ##P, C, ##a ##P'}"
367,398,capable of giving written informed consent,{''}
368,399,"Ages 18-65,",{''}
369,400,Both parents are of Chinese origin;,{''}
370,402,Ability of participant to understand and the willingness to sign a written informed consent document.,{''}
371,403,Have measurable disease per Response evaluation criteria in solid tumors version 1.1 (RECIST 1.1) as assessed by the local site investigator.,{'solid tumors'}
372,404,"Male or female, between 20-80 years of age, who request dental implant treatment options to replace missing teeth as part of comprehensive dental care",{''}
373,405,Participant with a clinical diagnosis of chronic kidney disease (CKD) and the following,"{'chronic kidney disease, C ##K ##D'}"
374,406,"Aged 18 to 80 years old (including boundary value), gender is not limited;",{''}
375,407,"Documented heavy prenatal alcohol exposure (self-report, social service records, or adoption records) and meeting criteria for an associated FASD diagnosis (FAS, partial FAS, or ARND).","{'FA ##SD, FA ##S, FA ##S, AR ##ND'}"
376,408,Man or woman at least 18 years old.,{''}
377,409,The target group are all adult (age \>=18 years) physically ill patients capable of giving consent on the pilot ward.,{''}
378,410,Age,{''}
379,411,Cohort A,{''}
